,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-08-03-US-MTV-1,Pixel4,1280526718437,1,13,GPS_L1,1280526718356731563,13662696.243,-7724620.682,21291540.605,467.191,2691.757,683.013,9768.365,0.001,24143085.701,8.094,0.0,5.498,10.032,24152838.536,G13,1280526719437,-2706695.8614149964,-4275817.519327048,3869184.866568191,-563.7388806715431
1,2020-08-03-US-MTV-1,Pixel4,1280526718437,1,15,GPS_L1,1280526718364103481,7325822.14,-17676950.953,17942061.515,1101.925,2109.266,1636.967,-63869.374,-0.0,21933040.284,5.096,0.0,3.887,4.159,21869162.864,G15,1280526719437,-2706695.8614149964,-4275817.519327048,3869184.866568191,-563.7388806715431
2,2020-08-03-US-MTV-1,Pixel4,1280526718437,1,21,GPS_L1,1280526718361162070,-18511164.526,232512.729,19708010.408,1416.525,-1884.316,1436.936,9435.005,0.003,22814853.118,2.099,0.0,4.057,4.327,22824279.739,G21,1280526719437,-2706695.8614149964,-4275817.519327048,3869184.866568191,-563.7388806715431
3,2020-08-03-US-MTV-1,Pixel4,1280526718437,1,29,GPS_L1,1280526718360019547,-3015294.648,-26115659.088,-3676112.306,294.079,408.709,-3187.044,-49424.602,-0.003,23157372.896,5.696,0.0,5.361,5.743,23107937.189999998,G29,1280526719437,-2706695.8614149964,-4275817.519327048,3869184.866568191,-563.7388806715431
4,2020-08-03-US-MTV-1,Pixel4,1280526718437,1,27,GPS_L1,1280526718359929572,-14059731.53,4547577.335,21918339.864,-792.325,-2700.217,83.994,-108627.998,-0.003,23184346.723,3.598,0.0,4.79,5.871,23075708.064000003,G27,1280526719437,-2706695.8614149964,-4275817.519327048,3869184.866568191,-563.7388806715431
5,2020-08-03-US-MTV-1,Pixel4,1280526718437,1,10,GPS_L1,1280526718364929254,-22320512.97,-11782855.534,8748736.596,1111.773,49.821,2909.004,-125286.357,-0.003,21685479.767,3.897,0.0,3.423,3.347,21560186.64,G10,1280526719437,-2706695.8614149964,-4275817.519327048,3869184.866568191,-563.7388806715431
6,2020-08-03-US-MTV-1,Pixel4,1280526718437,1,16,GPS_L1,1280526718359702274,-22461989.119,2241523.481,14130571.774,-1659.686,-739.366,-2439.782,-57293.373,-0.001,23252488.949,2.998,0.0,4.967,5.699,23195184.91,G16,1280526719437,-2706695.8614149964,-4275817.519327048,3869184.866568191,-563.7388806715431
7,2020-08-03-US-MTV-1,Pixel4,1280526718437,1,20,GPS_L1,1280526718370048006,-13354864.23,-14640594.123,17713526.474,2271.903,60.726,1731.857,158037.754,0.0,20150916.523,2.698,0.0,2.661,2.588,20308949.028,G20,1280526719437,-2706695.8614149964,-4275817.519327048,3869184.866568191,-563.7388806715431
8,2020-08-03-US-MTV-1,Pixel4,1280526718437,1,18,GPS_L1,1280526718368341334,-2250863.54,-17269295.659,20030230.161,1892.614,-1706.972,-1261.56,78512.974,0.003,20662563.917,2.099,0.0,2.844,2.862,20741071.185,G18,1280526719437,-2706695.8614149964,-4275817.519327048,3869184.866568191,-563.7388806715431
9,2020-08-03-US-MTV-1,Pixel4,1280526718437,1,26,GPS_L1,1280526718358535772,-26240883.039,-4668841.207,1282060.685,-97.647,-336.687,-3122.02,76459.704,0.002,23602197.451,2.698,0.0,5.851,6.88,23678644.424000002,G26,1280526719437,-2706695.8614149964,-4275817.519327048,3869184.866568191,-563.7388806715431
