collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM
2021-04-29-US-SJC-2,Pixel4,1303759020435,6,8,GAL_E5A,1303759019351323183,-28616376.002,2274741.405,7253568.058,-728.2,-18.05,-2868.683,1801744.702,-0.002,25168698.761,1.799,-2351.425,12.174,7.785
2021-04-29-US-SJC-2,Pixel4,1303759020435,6,11,GAL_E1,1303759019358556398,6119783.913,-19814667.494,21103394.474,809.925,1962.791,1609.209,1810529.477,-0.013,23000235.457,7.195,-224.139,4.349,3.57
2021-04-29-US-SJC-2,Pixel4,1303759020435,1,30,GPS_L5,1303759019354791471,270064.839,-25427288.48,-7185621.381,531.529,840.667,-2954.802,-125770.282,-0.002,24128932.176,3.298,-2350.139,15.623,9.276
2021-04-29-US-SJC-2,Pixel4,1303759020435,5,6,BDS_B1I,1303759019297063373,-10726100.233,22642730.327,34407322.481,-968.476,-761.233,177.481,99069.88,0.013,41435380.571,4.797,-452.31,7.217,24.735
2021-04-29-US-SJC-2,Pixel4,1303759020435,1,13,GPS_L1,1303759019357532693,-22593400.82,-13517630.324,-4141572.772,561.889,-8.387,-3125.316,37750.52,0.002,23307134.495,8.094,0.0,6.536,5.921
2021-04-29-US-SJC-2,Pixel4,1303759020435,6,2,GAL_E5A,1303759019355498574,-13827294.158,-9075634.889,24543281.129,1453.889,-1989.307,84.721,64648.128,0.001,23916948.03,2.398,-2351.425,6.312,2.911
2021-04-29-US-SJC-2,Pixel4,1303759020435,3,20,GLO_G1,1303759019370975006,-9389289.801,-20360674.702,12121860.325,869.386,1435.406,3089.584,-14456.626,-0.0,19277230.44,11.992,1150.214,3.178,2.561
2021-04-29-US-SJC-2,Pixel4,1303759020435,6,25,GAL_E1,1303759019353981834,1856012.378,-23344540.79,18109097.808,1007.021,-1514.064,-2054.775,-159597.083,-0.0,24371655.243,2.998,-224.139,3.834,3.067
2021-04-29-US-SJC-2,Pixel4,1303759020435,1,17,GPS_L1,1303759019364273950,-414893.57,-15723093.02,21827905.185,2509.011,899.449,709.689,130239.852,0.003,21286156.489,1.799,0.0,3.686,3.01
2021-04-29-US-SJC-2,Pixel4,1303759020435,1,24,GPS_L5,1303759019362931809,-16525282.05,-2523173.053,20468268.396,-690.214,-2566.252,-824.075,13508.029,0.008,21688520.238,1.199,-2350.139,7.633,3.664
