,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2021-04-29-US-SJC-2,Pixel4,1303758695435,1,13,GPS_L1,1303758695358167823,-22756912.432,-13507754.524,-3124767.543,447.647,-53.474,-3150.117,37749.958,0.002,23116727.311,23.983,0.0,6.156,5.495,23154465.618,G13,1303758696435,-2682498.5119489795,-4311222.159341449,3846874.1603431646,-745.7900312734582
1,2021-04-29-US-SJC-2,Pixel4,1303758695435,1,17,GPS_L1,1303758695364677250,-1220279.168,-16021022.918,21574600.334,2461.54,939.003,853.655,130238.831,0.003,21165250.191,2.698,0.0,3.56,2.929,21295482.533,G17,1303758696435,-2682498.5119489795,-4311222.159341449,3846874.1603431646,-745.7900312734582
2,2021-04-29-US-SJC-2,Pixel4,1303758695435,1,19,GPS_L1,1303758695368384212,-10518988.696,-17296941.686,16964528.011,2060.329,787.012,2034.955,-1929.833,0.001,20053930.941,5.096,0.0,3.148,2.488,20051995.472,G19,1303758696435,-2682498.5119489795,-4311222.159341449,3846874.1603431646,-745.7900312734582
3,2021-04-29-US-SJC-2,Pixel4,1303758695435,1,2,GPS_L1,1303758695354800921,-13503487.54,-19613946.178,-11059111.883,-159.428,-1518.929,2733.664,-179883.301,-0.002,24126099.138,8.094,0.0,8.663,10.002,23946197.172000002,G2,1303758696435,-2682498.5119489795,-4311222.159341449,3846874.1603431646,-745.7900312734582
4,2021-04-29-US-SJC-2,Pixel4,1303758695435,1,6,GPS_L1,1303758695360756528,-6094725.576,-25782053.024,-1315370.986,174.593,-212.89,3224.095,3364.209,0.001,22340653.076,4.197,0.0,5.409,4.325,22344007.551,G6,1303758696435,-2682498.5119489795,-4311222.159341449,3846874.1603431646,-745.7900312734582
5,2021-04-29-US-SJC-2,Pixel4,1303758695435,1,12,GPS_L1,1303758695353869748,-22604096.178,7675677.74,11235504.474,1030.317,-1070.222,2756.309,-10308.97,-0.002,24405257.78,15.889,0.0,7.254,12.376,24394929.180000003,G12,1303758696435,-2682498.5119489795,-4311222.159341449,3846874.1603431646,-745.7900312734582
6,2021-04-29-US-SJC-2,Pixel4,1303758695435,1,14,GPS_L1,1303758695360777280,8349114.962,-20282891.315,14950872.121,1614.317,-1028.811,-2297.849,27491.963,-0.001,22334431.783,11.992,0.0,5.103,4.3,22361914.343,G14,1303758696435,-2682498.5119489795,-4311222.159341449,3846874.1603431646,-745.7900312734582
7,2021-04-29-US-SJC-2,Pixel4,1303758695435,1,24,GPS_L1,1303758695362475435,-16307347.911,-1684593.21,20711959.957,-654.553,-2609.145,-679.873,13506.226,0.008,21825337.722,2.998,0.0,4.333,3.818,21838835.797,G24,1303758696435,-2682498.5119489795,-4311222.159341449,3846874.1603431646,-745.7900312734582
8,2021-04-29-US-SJC-2,Pixel4,1303758695435,1,28,GPS_L1,1303758695362151926,4761500.995,-19077316.335,18503345.404,1863.491,-1225.057,-1777.372,173629.026,-0.0,21922323.28,9.294,0.0,4.229,3.484,22095944.593000002,G28,1303758696435,-2682498.5119489795,-4311222.159341449,3846874.1603431646,-745.7900312734582
9,2021-04-29-US-SJC-2,Pixel4,1303758695435,1,1,GPS_L1,1303758695353663895,14108716.304,-3750136.871,21923476.789,562.405,2784.056,146.609,210752.013,-0.004,24466970.957,15.889,0.0,7.456,16.487,24677699.027,G1,1303758696435,-2682498.5119489795,-4311222.159341449,3846874.1603431646,-745.7900312734582
10,2021-04-29-US-SJC-2,Pixel4,1303758695435,1,30,GPS_L1,1303758695355514746,103822.217,-25681825.874,-6220481.151,495.387,730.046,-3001.741,-125768.732,-0.002,23912099.786,9.294,0.0,8.142,8.161,23786314.751,G30,1303758696435,-2682498.5119489795,-4311222.159341449,3846874.1603431646,-745.7900312734582
0,2021-04-29-US-SJC-2,Pixel4,1303758696435,1,13,GPS_L1,1303758696358165939,-22756464.61,-13507807.925,-3127917.621,447.997,-53.327,-3150.052,37749.96,0.002,23117292.12,18.287,0.0,6.157,5.497,23155030.426,G13,1303758697435,-2682501.1997401603,-4311215.226797494,3846880.1808695467,-751.537499326755
1,2021-04-29-US-SJC-2,Pixel4,1303758696435,1,17,GPS_L1,1303758696364676047,-1217817.554,-16020083.975,21575453.767,2461.695,938.886,853.214,130238.834,0.003,21165610.841,2.998,0.0,3.561,2.93,21295843.183999997,G17,1303758697435,-2682501.1997401603,-4311215.226797494,3846880.1808695467,-751.537499326755
2,2021-04-29-US-SJC-2,Pixel4,1303758696435,1,15,GPS_L1,1303758696356179325,-26288483.45,-2602419.734,3842537.172,-445.41,-452.181,-3029.544,-45813.349,0.001,23712864.014,7.195,0.0,6.432,6.659,23667037.573999997,G15,1303758697435,-2682501.1997401603,-4311215.226797494,3846880.1808695467,-751.537499326755
3,2021-04-29-US-SJC-2,Pixel4,1303758696435,1,19,GPS_L1,1303758696368384153,-10516928.223,-17296154.683,16966562.781,2060.616,786.994,2034.587,-1929.832,0.001,20053948.629,5.696,0.0,3.148,2.488,20052013.161000002,G19,1303758697435,-2682501.1997401603,-4311215.226797494,3846880.1808695467,-751.537499326755
4,2021-04-29-US-SJC-2,Pixel4,1303758696435,1,2,GPS_L1,1303758696354803108,-13503646.966,-19615464.934,-11056378.091,-159.424,-1518.578,2733.908,-179883.303,-0.002,24125443.492,4.197,0.0,8.661,9.997,23945541.531,G2,1303758697435,-2682501.1997401603,-4311215.226797494,3846880.1808695467,-751.537499326755
5,2021-04-29-US-SJC-2,Pixel4,1303758696435,1,6,GPS_L1,1303758696360758386,-6094550.949,-25782265.72,-1312146.871,174.66,-212.502,3224.123,3364.21,0.001,22340096.062,4.797,0.0,5.408,4.324,22343450.54,G6,1303758697435,-2682501.1997401603,-4311215.226797494,3846880.1808695467,-751.537499326755
6,2021-04-29-US-SJC-2,Pixel4,1303758696435,1,12,GPS_L1,1303758696353871504,-22603065.752,7674607.378,11238260.665,1030.531,-1070.498,2756.065,-10308.972,-0.002,24404731.345,18.287,0.0,7.254,12.371,24394402.748,G12,1303758697435,-2682501.1997401603,-4311215.226797494,3846880.1808695467,-751.537499326755
