,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2021-04-29-US-SJC-2,Pixel4,1303758725435,1,13,GPS_L1,1303758725358108933,-22743325.204,-13509292.614,-3219240.95,458.171,-49.073,-3148.112,37750.01,0.002,23134382.089,9.294,0.0,6.19,5.532,23172120.377,G13,1303758726435,-2682537.16476228,-4311047.94274785,3847040.560073627,-603.385093185743
1,2021-04-29-US-SJC-2,Pixel4,1303758725435,1,17,GPS_L1,1303758725364640447,-1146363.353,-15992905.35,21600011.078,2466.178,935.5,840.395,130238.925,0.003,21176283.453,2.698,0.0,3.571,2.937,21306515.870000005,G17,1303758726435,-2682537.16476228,-4311047.94274785,3847040.560073627,-603.385093185743
2,2021-04-29-US-SJC-2,Pixel4,1303758725435,1,19,GPS_L1,1303758725368382024,-10457050.09,-17273339.812,17025411.27,2068.905,786.439,2023.924,-1929.805,0.001,20054586.887,2.398,0.0,3.151,2.489,20052651.441999998,G19,1303758726435,-2682537.16476228,-4311047.94274785,3847040.560073627,-603.385093185743
3,2021-04-29-US-SJC-2,Pixel4,1303758725435,1,12,GPS_L1,1303758725353922917,-22573090.423,7643446.732,11318083.852,1036.721,-1078.51,2748.964,-10309.036,-0.002,24389318.115,6.296,0.0,7.245,12.224,24378989.61,G12,1303758726435,-2682537.16476228,-4311047.94274785,3847040.560073627,-603.385093185743
4,2021-04-29-US-SJC-2,Pixel4,1303758725435,1,14,GPS_L1,1303758725360737426,8397416.73,-20313715.344,14881793.559,1605.805,-1026.118,-2307.386,27491.925,-0.001,22346379.712,5.096,0.0,5.123,4.316,22373862.198000003,G14,1303758726435,-2682537.16476228,-4311047.94274785,3847040.560073627,-603.385093185743
5,2021-04-29-US-SJC-2,Pixel4,1303758725435,1,24,GPS_L1,1303758725362518541,-16327035.996,-1762812.078,20691362.23,-657.979,-2605.431,-693.303,13506.453,0.008,21812414.868,2.099,0.0,4.325,3.803,21825913.193000004,G24,1303758726435,-2682537.16476228,-4311047.94274785,3847040.560073627,-603.385093185743
6,2021-04-29-US-SJC-2,Pixel4,1303758725435,1,28,GPS_L1,1303758725362124689,4817293.141,-19114061.898,18449855.815,1855.986,-1224.64,-1788.598,173629.02,-0.0,21930488.727,2.398,0.0,4.243,3.492,22104110.012000002,G28,1303758726435,-2682537.16476228,-4311047.94274785,3847040.560073627,-603.385093185743
0,2021-04-29-US-SJC-2,Pixel4,1303758726435,1,13,GPS_L1,1303758726358107070,-22742866.858,-13509341.614,-3222389.022,458.522,-48.928,-3148.044,37750.012,0.002,23134940.602,8.094,0.0,6.191,5.533,23172678.89,G13,1303758727435,-2682537.1646732735,-4311047.94231965,3847040.5606119107,-600.8907564072712
1,2021-04-29-US-SJC-2,Pixel4,1303758726435,1,17,GPS_L1,1303758726364639222,-1143897.1,-15991969.91,21600851.25,2466.332,935.382,839.952,130238.928,0.003,21176650.698,2.698,0.0,3.572,2.937,21306883.117,G17,1303758727435,-2682537.1646732735,-4311047.94231965,3847040.5606119107,-600.8907564072712
2,2021-04-29-US-SJC-2,Pixel4,1303758726435,1,19,GPS_L1,1303758726368381945,-10454981.042,-17272553.383,17027435.009,2069.19,786.419,2023.555,-1929.804,0.001,20054610.57,2.398,0.0,3.151,2.489,20052675.126,G19,1303758727435,-2682537.1646732735,-4311047.94231965,3847040.5606119107,-600.8907564072712
3,2021-04-29-US-SJC-2,Pixel4,1303758726435,1,12,GPS_L1,1303758726353924745,-22572053.593,7642368.081,11320832.7,1036.934,-1078.786,2748.719,-10309.038,-0.002,24388770.094,5.696,0.0,7.245,12.219,24378441.592,G12,1303758727435,-2682537.1646732735,-4311047.94231965,3847040.5606119107,-600.8907564072712
4,2021-04-29-US-SJC-2,Pixel4,1303758726435,1,14,GPS_L1,1303758726360736146,8399022.39,-20314741.415,14879486.017,1605.521,-1026.027,-2307.704,27491.924,-0.001,22346763.446,5.696,0.0,5.124,4.316,22374245.929999996,G14,1303758727435,-2682537.1646732735,-4311047.94231965,3847040.5606119107,-600.8907564072712
5,2021-04-29-US-SJC-2,Pixel4,1303758726435,1,24,GPS_L1,1303758726362519968,-16327694.034,-1765417.449,20690668.701,-658.093,-2605.306,-693.751,13506.461,0.008,21811987.064,2.398,0.0,4.325,3.803,21825485.397,G24,1303758727435,-2682537.1646732735,-4311047.94231965,3847040.5606119107,-600.8907564072712
6,2021-04-29-US-SJC-2,Pixel4,1303758726435,1,28,GPS_L1,1303758726362123772,4819149.0,-19115286.53,18448067.031,1855.736,-1224.625,-1788.972,173629.02,-0.0,21930763.637,2.099,0.0,4.243,3.492,22104384.922,G28,1303758727435,-2682537.1646732735,-4311047.94231965,3847040.5606119107,-600.8907564072712
