,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2021-04-29-US-SJC-2,Pixel4,1303758665435,1,17,GPS_L1,1303758665364713647,-1294055.088,-16049245.063,21548791.994,2456.852,942.472,866.901,130238.737,0.003,21154338.645,1.799,0.0,3.549,2.922,21284570.911000002,G17,1303758666435,-2682423.7361642513,-4311465.844356568,3846655.855027749,-820.6217825742775
1,2021-04-29-US-SJC-2,Pixel4,1303758665435,1,15,GPS_L1,1303758665356221825,-26274510.023,-2588351.163,3936413.88,-456.1,-455.477,-3027.016,-45813.389,0.001,23700122.835,3.598,0.0,6.406,6.625,23654296.415000003,G15,1303758666435,-2682423.7361642513,-4311465.844356568,3846655.855027749,-820.6217825742775
2,2021-04-29-US-SJC-2,Pixel4,1303758665435,1,19,GPS_L1,1303758665368385912,-10580669.567,-17320560.058,16903314.439,2051.722,787.538,2045.945,-1929.861,0.001,20053421.294,4.197,0.0,3.144,2.487,20051485.801999997,G19,1303758666435,-2682423.7361642513,-4311465.844356568,3846655.855027749,-820.6217825742775
3,2021-04-29-US-SJC-2,Pixel4,1303758665435,1,6,GPS_L1,1303758665360700828,-6099933.589,-25775491.639,-1412081.062,172.615,-224.537,3223.221,3364.184,0.001,22357351.516,9.294,0.0,5.428,4.348,22360705.924,G6,1303758666435,-2682423.7361642513,-4311465.844356568,3846655.855027749,-820.6217825742775
4,2021-04-29-US-SJC-2,Pixel4,1303758665435,1,12,GPS_L1,1303758665353815861,-22634909.043,7707660.304,11152705.573,1023.862,-1061.948,2763.598,-10308.903,-0.002,24421412.696,8.094,0.0,7.263,12.532,24411083.997999996,G12,1303758666435,-2682423.7361642513,-4311465.844356568,3846655.855027749,-820.6217825742775
5,2021-04-29-US-SJC-2,Pixel4,1303758665435,1,14,GPS_L1,1303758665360816764,8300557.989,-20251987.258,15019663.898,1622.818,-1031.453,-2288.267,27492.0,-0.001,22322594.778,9.294,0.0,5.082,4.284,22350077.412,G14,1303758666435,-2682423.7361642513,-4311465.844356568,3846655.855027749,-820.6217825742775
6,2021-04-29-US-SJC-2,Pixel4,1303758665435,1,24,GPS_L1,1303758665362431692,-16287762.997,-1606263.707,20732154.553,-651.101,-2612.806,-666.428,13505.998,0.008,21838451.543,1.799,0.0,4.341,3.834,21851949.366000004,G24,1303758666435,-2682423.7361642513,-4311465.844356568,3846655.855027749,-820.6217825742775
7,2021-04-29-US-SJC-2,Pixel4,1303758665435,1,28,GPS_L1,1303758665362179208,4705484.066,-19040559.009,18556497.728,1870.972,-1225.424,-1766.114,173629.032,-0.0,21914144.342,3.598,0.0,4.216,3.476,22087765.682000004,G28,1303758666435,-2682423.7361642513,-4311465.844356568,3846655.855027749,-820.6217825742775
8,2021-04-29-US-SJC-2,Pixel4,1303758665435,1,1,GPS_L1,1303758665353719274,14091922.27,-3833667.145,21918863.339,557.198,2784.629,160.955,210752.132,-0.004,24450368.75,3.897,0.0,7.445,16.227,24661097.209999997,G1,1303758666435,-2682423.7361642513,-4311465.844356568,3846655.855027749,-820.6217825742775
9,2021-04-29-US-SJC-2,Pixel4,1303758665435,1,30,GPS_L1,1303758665355583819,89007.581,-25703571.402,-6130368.937,492.263,719.654,-3005.744,-125768.67,-0.002,23891392.222,13.79,0.0,8.091,8.07,23765607.391,G30,1303758666435,-2682423.7361642513,-4311465.844356568,3846655.855027749,-820.6217825742775
