,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2021-04-22-US-SJC-1,Pixel4,1303161785446,1,17,GPS_L1,1303161785366187197,14433546.961,-13242916.702,18362886.47,2242.548,-40.234,-1834.582,129135.233,0.003,24025256.032,3.598,0.0,7.666,7.748,24154375.851,G17,1303161786446,-2682507.4284539106,-4311197.704679285,3846895.108299951,-295.20256442954167
1,2021-04-22-US-SJC-1,Pixel4,1303161785446,1,19,GPS_L1,1303161785373624084,5578709.53,-14389554.758,21314645.488,2770.731,-2.101,-727.407,-2830.0,0.001,21795733.399,2.698,0.0,5.264,3.871,21792894.264000002,G19,1303161786446,-2682507.4284539106,-4311197.704679285,3846895.108299951,-295.20256442954167
2,2021-04-22-US-SJC-1,Pixel4,1303161785446,1,2,GPS_L1,1303161785376160969,-12432069.742,-22306244.651,7859888.572,790.383,517.742,2972.668,-179289.045,-0.0,21035194.409,4.197,0.0,4.15,2.766,20855898.448000003,G2,1303161786446,-2682507.4284539106,-4311197.704679285,3846895.108299951,-295.20256442954167
3,2021-04-22-US-SJC-1,Pixel4,1303161785446,1,6,GPS_L1,1303161785377093621,-1877640.636,-20698028.268,16564853.524,1375.172,1578.889,2142.276,2794.208,0.001,20755592.373,2.099,0.0,4.071,2.789,20758379.721,G6,1303161786446,-2682507.4284539106,-4311197.704679285,3846895.108299951,-295.20256442954167
4,2021-04-22-US-SJC-1,Pixel4,1303161785446,1,12,GPS_L1,1303161785375093992,-14454197.484,-4029546.314,21651299.539,1234.766,-2521.572,365.102,-9397.027,-0.002,21355066.066,2.698,0.0,4.762,3.397,21345660.880000003,G12,1303161786446,-2682507.4284539106,-4311197.704679285,3846895.108299951,-295.20256442954167
5,2021-04-22-US-SJC-1,Pixel4,1303161785446,1,28,GPS_L1,1303161785365346335,11664278.784,-23967775.737,1458959.057,253.674,1.78,-3182.459,174696.778,-0.001,24277340.118,9.294,0.0,9.617,10.253,24452017.026000004,G28,1303161786446,-2682507.4284539106,-4311197.704679285,3846895.108299951,-295.20256442954167
0,2021-04-22-US-SJC-1,Pixel4,1303161786446,1,2,GPS_L1,1303161786376161769,-12431279.223,-22305726.792,7862861.16,790.652,517.975,2972.504,-179289.045,-0.0,21034954.575,6.296,0.0,4.149,2.766,20855658.615,G2,1303161787446,-2682509.0010613864,-4311190.7937109005,3846901.8111995887,-295.80234113065313
1,2021-04-22-US-SJC-1,Pixel4,1303161786446,1,6,GPS_L1,1303161786377093236,-1876265.334,-20696449.316,16566995.623,1375.432,1579.017,2141.924,2794.209,0.001,20755707.793,2.398,0.0,4.071,2.789,20758495.142,G6,1303161787446,-2682509.0010613864,-4311190.7937109005,3846901.8111995887,-295.80234113065313
2,2021-04-22-US-SJC-1,Pixel4,1303161786446,1,12,GPS_L1,1303161786375095391,-14452962.782,-4032067.947,21651664.404,1234.637,-2521.686,364.629,-9397.03,-0.002,21354646.657,2.398,0.0,4.762,3.397,21345241.468000002,G12,1303161787446,-2682509.0010613864,-4311190.7937109005,3846901.8111995887,-295.80234113065313
3,2021-04-22-US-SJC-1,Pixel4,1303161786446,1,17,GPS_L1,1303161786366185535,14435789.392,-13242956.998,18361051.702,2242.321,-40.358,-1834.96,129135.236,0.003,24025754.287,2.998,0.0,7.667,7.75,24154874.106000002,G17,1303161787446,-2682509.0010613864,-4311190.7937109005,3846901.8111995887,-295.80234113065313
