,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-05-14-US-MTV-1,Pixel4,1273530623442,1,5,GPS_L1,1273530623367610253,-1806675.624,-26386994.023,224114.968,329.158,20.396,3169.211,-3793.747,-0.001,22431408.911,2.099,0.0,6.428,4.585,22427604.150999997,G5,1273530624442,-2705538.377938039,-4278127.6259145355,3867449.9418291193,2549.7944652202877
1,2020-05-14-US-MTV-1,Pixel4,1273530623442,1,19,GPS_L1,1273530623359799336,17655455.888,-16645761.083,10477659.25,1316.352,-437.491,-2833.907,-47595.06,0.001,24773062.917,3.897,0.0,9.448,16.0,24725442.409,G19,1273530624442,-2705538.377938039,-4278127.6259145355,3867449.9418291193,2549.7944652202877
2,2020-05-14-US-MTV-1,Pixel4,1273530623442,1,25,GPS_L1,1273530623372870580,-14623017.216,-7539491.547,20665880.361,-38.612,-2672.468,-964.884,1223.624,0.0,20854402.549,2.998,0.0,4.288,2.986,20855618.899,G25,1273530624442,-2705538.377938039,-4278127.6259145355,3867449.9418291193,2549.7944652202877
3,2020-05-14-US-MTV-1,Pixel4,1273530623442,1,29,GPS_L1,1273530623366190092,-22134055.88,997449.833,14619345.018,1560.59,-1020.455,2422.801,-31299.843,-0.003,22857162.468,1.799,0.0,6.69,5.059,22825850.876,G29,1273530624442,-2705538.377938039,-4278127.6259145355,3867449.9418291193,2549.7944652202877
4,2020-05-14-US-MTV-1,Pixel4,1273530623442,1,2,GPS_L1,1273530623371223360,-2948669.261,-17145009.857,20725856.513,2315.087,917.079,1117.565,-136679.994,-0.0,21348226.682,1.199,0.0,4.014,2.794,21211539.880000003,G2,1273530624442,-2705538.377938039,-4278127.6259145355,3867449.9418291193,2549.7944652202877
5,2020-05-14-US-MTV-1,Pixel4,1273530623442,1,6,GPS_L1,1273530623365776423,8963235.331,-11976641.033,22001821.853,2453.684,1296.01,-290.416,-81413.583,-0.002,22981177.314,2.099,0.0,6.243,5.067,22899752.420999996,G6,1273530624442,-2705538.377938039,-4278127.6259145355,3867449.9418291193,2549.7944652202877
6,2020-05-14-US-MTV-1,Pixel4,1273530623442,1,12,GPS_L1,1273530623375481431,-10560451.424,-17897655.045,16397365.38,204.623,-2111.808,-2126.931,35343.034,-0.002,20071689.111,1.199,0.0,3.75,2.505,20107025.890000004,G12,1273530624442,-2705538.377938039,-4278127.6259145355,3867449.9418291193,2549.7944652202877
7,2020-05-14-US-MTV-1,Pixel4,1273530623442,1,24,GPS_L1,1273530623362780447,-21108132.986,-14995434.977,-6921305.885,898.22,67.185,-2933.272,-3908.408,0.001,23879348.323,5.096,0.0,8.654,7.057,23875424.204,G24,1273530624442,-2705538.377938039,-4278127.6259145355,3867449.9418291193,2549.7944652202877
0,2020-05-14-US-MTV-1,Pixel4,1273530624442,1,5,GPS_L1,1273530624367611900,-1806346.449,-26386973.436,227284.182,329.19,20.776,3169.206,-3793.748,-0.001,22430915.152,2.099,0.0,6.428,4.585,22427110.391,G5,1273530625442,-2705546.7015603217,-4278107.680650947,3867466.1061085225,2561.6349895979624
1,2020-05-14-US-MTV-1,Pixel4,1273530624442,1,19,GPS_L1,1273530624359797423,17656772.062,-16646198.534,10474825.235,1316.001,-437.412,-2834.133,-47595.059,0.001,24773636.42,3.897,0.0,9.448,16.009,24726015.904000003,G19,1273530625442,-2705546.7015603217,-4278107.680650947,3867466.1061085225,2561.6349895979624
